Video Link,Video Views,Uploaded Date,Comments,Likes,Dislikes
['https://www.youtube.com/watch/zWAjEtFkMgY'],"69,771 views","Nov 11, 2017",Thank u guruji .,206,57
['https://www.youtube.com/watch/zUZ1z7FwLc8'],"3,037,577 views","Nov 12, 2017",,2K,6.8K
['https://www.youtube.com/watch/ZrEP2EuSufc'],"356,366 views","Nov 13, 2017","ബാഹുബലിയാകാന്‍ നോക്കിയ തൊടുപുഴക്കാരന്‍‌റെ ഇപ്പോഴത്തെ അവസ്ഥ
https://www.youtube.com/watch?v=zZRslRSFzhA",771,151
['https://www.youtube.com/watch/Zqv5CBWt9yA'],"15,850,539 views","Jun 13, 2018","In this hypocrite world, an artist chooses a road less taken. So proud of the entire team who has worked hard for the song.
Please share this music video with your family and friends. 

Keep sharing, Keep loving! ♥️",969K,25K
['https://www.youtube.com/watch/zOOmEDwPJX0'],"37,406,052 views","Nov 11, 2017","I love this song 
This song is very nice 😍😍😍😍❤️❤️❤️❤️😍😍😍😍😘😘😘😘😘😘",397K,13K
['https://www.youtube.com/watch/znOC3IU0dF8'],"422,238 views","Nov 14, 2017",Dei idhu rajarani tune da😂😂,2.4K,152
['https://www.youtube.com/watch/ZLFwFwKZCGg'],"88,969,363 views","Nov 18, 2017",When you literally have waited 14 years for the 2nd movie to come out and it's finally here,521K,36K
['https://www.youtube.com/watch/ZJDMWVZta3M'],"182,260 views","Nov 11, 2017",ആള് ചൂളി പോയി .ലോകം അറിയും എന്ന് ആലോചിച്ചില്ല ! എന്തിനു സംഘി ഇങ്ങിനെ സ്വയം കഴുതയാവണം ? പട്ടാളക്കാർക് അപമാനമായി ?,1.5K,266
['https://www.youtube.com/watch/ZJaR1RPrvkA'],"18,378,415 views","Nov 11, 2017",Kamaal movie banate hai south indian wale maza aa gaya,64K,9.1K
['https://www.youtube.com/watch/ziOwvxFoLw0'],"202,955 views","Nov 11, 2017","ಆತ್ಮನ ಕೈಯಲ್ಲಿ ಮುಟ್ಟಕ್ಕೆ ಸಾಧ್ಯ ಇಲ್ಲ
ಇನ್ನೂ ಸಂಸಾರ ಮಾಡಕ್ಕೆ
ಸಾಧ್ಯಾನಾ 🤔",794,178
['https://www.youtube.com/watch/ZIHhuwvT7R0'],"3,265,438 views","Nov 25, 2017","Bas bahut hua ab...""Chaliye khatam karte hai""",187K,21K
['https://www.youtube.com/watch/zH2QWFmKqpQ'],"1,070,078 views","Nov 12, 2017",,2.5K,494
['https://www.youtube.com/watch/ZgH4A2lmzPk'],"302,132 views","Nov 14, 2017",TV 9 konchem prajalaki mana desanaki use ayye programmes cheyyandi pls,565,1.2K
['https://www.youtube.com/watch/ZGgWlec-82s'],"14,567,410 views","Feb 3, 2018","I know it was a joke, but this probably is the most reliable news source on the internet",678K,27K
['https://www.youtube.com/watch/zFrllD9D9HM'],"23,856 views","Nov 12, 2017",Annaiah thanks allot of your message.... Iam so happy....manam evaramaina parents frnds vaddanukunna preminche devudu unnanduku nd meru cheppina story chala bagundi.. shalom annaiah,1.1K,13
['https://www.youtube.com/watch/zdiBM3qjIcI'],"1,255,385 views","Nov 11, 2017",naresh super timing... nee life chaala bagundaali ani ninnu istapade vaallandharu korukuntunnaru.. all the best naresh...,4K,799
['https://www.youtube.com/watch/z3V9LUA6VQM'],"9,313,335 views","Mar 27, 2018","Hey Guys Tried something new.
Ap logo ko kuch naya dikhane ka try kia , Like or subscribe zarur karna :)
Episode 2 Coming soon.
Love you <3",404K,14K
['https://www.youtube.com/watch/yzshoDMBkqE'],"6,155,529 views","Nov 13, 2017","Now the fans are back cheering for Roman Reigns, but if the shield break up they are gonna boo him. I don't get some people, where are the real Roman Reigns fans? Because I'm one!!# believe that",92K,2.2K
['https://www.youtube.com/watch/Yx6FaFVw9NY'],"447,565 views","Nov 10, 2017","Evadra tollywood 2nd generation lo nalugure big stars annadi(chiru.balayya.nag.venky) 
Rajashekar Garu unnaru .......mottam"" pancha panduvulu"".......",2.6K,214
['https://www.youtube.com/watch/Yvp9jUJtMuY'],"620,336 views","Nov 13, 2017",,3.6K,225
['https://www.youtube.com/watch/YSNzBAEQBpE'],"154,573 views","Nov 14, 2017",good hitain hena team is best and real team or shilpa team fake bakwas hain sary,746,86
['https://www.youtube.com/watch/ysik6z44B1E'],"86,556,805 views","Dec 11, 2017",Who else is bored stuck in quarantine and watching old vids,940K,27K
['https://www.youtube.com/watch/yqV4godQ7Xk'],"660,269 views","Nov 13, 2017",Gp perly epazha നിങ്ങളുടെ വില മനിസിലാക്കിയെ,1.9K,398
['https://www.youtube.com/watch/yPOnlqGGGGU'],"54,704,730 views","Feb 14, 2018",,457K,23K
['https://www.youtube.com/watch/YoXH6cZYI_s'],"421,973 views","Nov 15, 2017",Sudhakar Slang Yarrku Pudikum😇😍😇,15K,301
['https://www.youtube.com/watch/yEMSUnFCf2o'],"4,523,157 views","May 17, 2018",Kaisa laga yeh special OnePlus 6 Avengers Edition?,168K,9K
['https://www.youtube.com/watch/ycVc1jsaAA0'],"559,106 views","Nov 13, 2017",,LIKE,DISLIKE
['https://www.youtube.com/watch/YbWw3kVdsPs'],"1,627,956 views","Nov 15, 2017",I think u forgot to add TV  remote fight which is the most common fight between siblings. Anyways great video 😃😃😃,53K,2.6K
['https://www.youtube.com/watch/YBpdL9hSac4'],"95,649 views","Nov 13, 2017",Daily upload cheyyandi.. superb idea 👏👏🙏🙏🙏🙏🙏👌👌👌💐💐💐💐💐💐,357,59
['https://www.youtube.com/watch/Ybk37X2YJxo'],"1,715,347 views","Nov 11, 2017",I am only 13 yrs but ill start from now thanks sir,61K,1.4K
['https://www.youtube.com/watch/YAdPv-QPLHQ'],"602,115 views","Nov 14, 2017",Doctor udambu eriruchunu swimming po sonaru....,4.6K,269
['https://www.youtube.com/watch/y8uB4JpFSBY'],"269,056 views","Nov 14, 2017",,670,214
['https://www.youtube.com/watch/Y83L3JOlWHo'],"200,631 views","Nov 12, 2017",,LIKE,DISLIKE
['https://www.youtube.com/watch/y6Zt8DYocdA'],"96,898 views","Nov 14, 2017",,850,155
['https://www.youtube.com/watch/y6YY8-k9Cwg'],"372,004,279 views","Dec 26, 2017",Kis kis se 10 se jada baar ye song dekha hai ...😘😘😘,1.7M,180K
['https://www.youtube.com/watch/y5TM_K-ldDs'],"170,659,398 views","Jan 18, 2018","Honey Singh : Like🔥💪
Badshah : Comment 😂
Dekhte hai Kon hai Winner 🔥",910K,81K
['https://www.youtube.com/watch/XZsTzaBizs8'],"148,458 views","Nov 11, 2017",evideka ivar ee valich neetunne....nammal ithraum kshamayode wait cheyditt...kiranin new wife....potta serial...we want kiran anu to reunite plzzz...,60,88
['https://www.youtube.com/watch/xzEbOteUiRY'],"559,346 views","Nov 11, 2017",,1.7K,252
['https://www.youtube.com/watch/xyWpP99H2i4'],"102,670 views","Nov 12, 2017",എന്റെ അഭിപ്രായത്തിൽ പറഞ്ഞാൽ അവർ രാവിലെ മുതൽ വൈകന്നേരം വരേ ഒരേ ഇരിപ്പാണല്ലോ അപ്പോൾ ചന്തിയിൽ വേദന അനുഭവപ്പെടും അന്നേരം ഒരു ബാഗം ചെരിഞ്ഞിരിക്കും അന്നേരം വേദനക്ക് ശമനമുണ്ടാകും അതാണ് കാരണം,207,83
['https://www.youtube.com/watch/xxwI3U_7s-I'],"842,051,990 views","Nov 20, 2017",Here’s something to get you Trippin: https://youtu.be/a7ifilROVJk,3.2M,426K
['https://www.youtube.com/watch/xWi8nDUjHGA'],"1,302,764 views","Nov 9, 2017",Who came here after the movie?,16K,630
['https://www.youtube.com/watch/xvYBg6MWPbM'],"2,573,419 views","Nov 9, 2017",Rajasheker Garu is backkkk....,9.5K,845
['https://www.youtube.com/watch/XVPpvn9vQDU'],"3,826,474 views","Nov 14, 2017",Get the best of The Timeliners by subscribing to them on TVFPlay. Click on this link: https://tvfplay.com/,79K,3.1K
['https://www.youtube.com/watch/XU6iH5LHwDw'],"52,947,968 views","May 21, 2018",Kon kon aaya hai part 1 dekhne 2020 me🤣 hit like👍,961K,49K
['https://www.youtube.com/watch/xnvlaasnhHg'],"62,461,635 views","May 15, 2018",Salman Khan the King,672K,235K
['https://www.youtube.com/watch/xNfzGWB34b4'],"9,689,944 views","Dec 2, 2017","Ye match toh kaafi Dilchasp hai! 
Share This video with all GTA Lovers! 😉",710K,13K
['https://www.youtube.com/watch/xmU0s2QtaEY'],"5,333,292 views","May 20, 2018",Kya kehte ho? Results are announced here: https://twitter.com/TechnicalGuruji/status/1000788563355619328,458K,10K
['https://www.youtube.com/watch/xjFKfAudCOo'],"86,923 views","Nov 13, 2017","700,000 Subscribers ke liye aap sabhi ko bahut bahut DHANYAWAD.
Log kehte hai ki tum sangharsh karo hum tumhare SAATH hai.
Lekin agar wo SAATH hote to, sangharsh karne ki jarurat NAHI padti.",8.6K,240
['https://www.youtube.com/watch/XjF2n3NaoSk'],"4,028,567 views","Nov 14, 2017","#GoodNews
हमने एक नया YouTube चैनल शुरू किया है  - “Dr Vivek Bindra Personal Vlogs”
https://www.youtube.com/channel/UC6j-DoEcBqvUtdyqjxxpGjA",169K,4.6K
['https://www.youtube.com/watch/xHu2OBXVOY8'],"50,053,464 views","Feb 21, 2018",Meri dadi she is now 89 yrs YouTube kabhi zindagi main open nhi kiya or aap ka video ek bar btaya toh khud  YouTube open karke   trending  list main Jake aapke video dekhti hai apke dialogue bolte rehete hai,910K,44K
['https://www.youtube.com/watch/XgVrYVBs2fc'],"133,155,396 views","Dec 20, 2017",Can't believe this song did not chart at all. It sounds like Dark Horse but w/ more powerful lyrics.,1.4M,251K
